type,date,time,latitude,longitude,alt,speed,acceleration,Axmax,Aymax,Azmax,name,desc
T,20200930,00061300,52.159002,11.627120,6.00,5.71,3.81,2.92,2.76,0.77,,
T,20200930,00061400,52.159023,11.627197,6.00,5.65,5.21,3.26,4.07,0.70,,
T,20200930,00061500,52.159043,11.627276,6.00,5.69,3.04,-2.22,2.40,0.56,,
T,20200930,00061600,52.159063,11.627353,6.00,5.68,2.34,-1.64,2.03,0.46,,
T,20200930,00061700,52.159084,11.627429,6.00,5.69,4.54,2.33,3.89,0.72,,
T,20200930,00061800,52.159105,11.627503,6.00,5.69,4.13,-2.40,3.49,-0.64,,
T,20200930,00061900,52.159126,11.627579,6.00,5.74,8.80,5.85,7.27,0.87,,
T,20200930,00062000,52.159146,11.627652,6.00,5.34,10.69,6.97,8.01,1.27,,
T,20200930,00062100,52.159169,11.627726,6.00,5.81,10.76,6.97,8.01,-1.80,,
T,20200930,00062200,52.159192,11.627804,6.00,5.73,8.63,4.40,-7.99,1.18,,
T,20200930,00062300,52.159217,11.627881,6.00,5.83,5.43,3.62,4.03,-0.74,,
T,20200930,00062400,52.159241,11.627956,6.00,5.79,7.40,5.01,5.20,1.62,,
T,20200930,00062500,52.159265,11.628030,6.00,5.59,4.10,2.22,3.48,-0.67,,
T,20200930,00062600,52.159285,11.628099,6.00,5.01,3.95,2.62,2.95,0.40,,
T,20200930,00062700,52.159304,11.628159,6.00,4.30,9.13,5.52,7.38,0.79,,
T,20200930,00062800,52.159328,11.628226,6.00,5.52,10.18,6.32,8.01,1.08,,
T,20200930,00062900,52.159355,11.628292,6.00,5.38,7.51,5.12,5.96,-0.83,,
T,20200930,00063000,52.159385,11.628360,6.00,5.57,3.44,-2.07,3.30,0.45,,
T,20200930,00063100,52.159416,11.628425,6.00,5.43,9.04,5.16,7.81,-1.00,,
T,20200930,00063200,52.159443,11.628489,6.00,5.16,7.63,5.51,5.82,0.91,,
T,20200930,00063300,52.159472,11.628552,6.00,5.32,7.52,4.18,6.30,-0.76,,
T,20200930,00063400,52.159504,11.628616,6.00,5.48,3.86,2.80,-2.78,0.44,,
T,20200930,00063500,52.159537,11.628680,6.00,5.51,6.89,3.81,5.86,0.83,,
T,20200930,00063600,52.159570,11.628743,6.00,5.60,4.05,3.13,-3.04,-0.55,,
T,20200930,00063700,52.159603,11.628809,6.00,5.69,3.91,2.33,3.42,-0.51,,
T,20200930,00063800,52.159634,11.628873,6.00,5.33,8.51,4.51,7.22,-1.21,,
T,20200930,00063900,52.159661,11.628925,6.00,4.40,3.89,2.82,-3.14,0.61,,
T,20200930,00064000,52.159689,11.628991,6.00,5.70,5.70,4.09,4.57,0.56,,
T,20200930,00064100,52.159717,11.629057,6.00,5.37,4.53,3.05,4.03,0.65,,
T,20200930,00064200,52.159746,11.629124,6.00,5.30,7.71,4.93,5.90,1.12,,
T,20200930,00064300,52.159774,11.629196,6.00,5.69,9.63,6.35,7.24,-1.28,,
T,20200930,00064400,52.159800,11.629272,6.00,5.79,10.73,6.97,8.01,1.53,,
T,20200930,00064500,52.159826,11.629345,6.00,5.49,6.91,-2.85,6.29,0.61,,
T,20200930,00064600,52.159853,11.629416,6.00,5.02,6.47,4.14,-5.74,0.73,,
T,20200930,00064700,52.159875,11.629486,6.00,5.30,8.02,4.91,-7.99,-1.89,,
T,20200930,00064800,52.159907,11.629574,6.00,6.32,5.79,4.37,4.03,-0.79,,
T,20200930,00064900,52.159937,11.629649,6.00,5.74,4.31,-2.44,4.01,1.08,,
T,20200930,00065000,52.159959,11.629719,6.00,4.89,3.71,-2.41,3.40,0.82,,
T,20200930,00065100,52.159980,11.629795,6.00,5.58,3.86,3.13,-3.39,0.71,,
T,20200930,00065200,52.159999,11.629871,6.00,5.01,3.30,2.30,2.85,0.52,,
T,20200930,00065300,52.160020,11.629943,6.00,5.17,2.73,1.68,2.33,0.60,,
T,20200930,00065400,52.160043,11.630017,6.00,4.83,2.79,-2.00,2.36,0.63,,
T,20200930,00065500,52.160063,11.630079,6.00,3.99,2.36,1.63,1.71,-0.37,,
T,20200930,00065600,52.160086,11.630142,6.00,3.81,1.14,-0.57,1.09,0.23,,
T,20200930,00065700,52.160103,11.630195,6.00,3.66,1.27,-0.89,0.87,-1.01,,
T,20200930,00065800,52.160126,11.630248,6.00,2.80,0.74,-0.64,0.54,-0.24,,
T,20200930,00065900,52.160149,11.630299,6.00,2.06,0.50,0.32,0.47,-0.27,,
T,20200930,00070000,52.160161,11.630332,6.00,1.04,0.38,0.13,0.38,-0.14,,
T,20200930,00070100,52.160166,11.630343,6.00,0.08,0.09,0.03,-0.08,-0.05,,
T,20200930,00070200,52.160167,11.630355,6.00,0.04,0.06,0.02,0.03,-0.06,,
T,20200930,00070300,52.160171,11.630364,6.00,0.02,0.06,0.02,0.02,-0.06,,
T,20200930,00070400,52.160174,11.630371,6.00,0.02,0.05,0.02,0.02,-0.05,,
T,20200930,00070500,52.160178,11.630378,6.00,0.01,0.06,0.02,0.02,-0.05,,
T,20200930,00070600,52.160180,11.630383,6.00,0.01,0.06,0.02,0.02,-0.06,,
T,20200930,00070700,52.160182,11.630387,6.00,0.02,0.06,0.02,0.02,-0.05,,
T,20200930,00070800,52.160183,11.630391,6.00,0.01,0.05,0.02,0.02,-0.05,,
T,20200930,00070900,52.160184,11.630394,6.00,0.02,0.05,0.02,0.02,-0.05,,
T,20200930,00071000,52.160186,11.630396,6.00,0.01,0.06,0.02,0.02,-0.06,,
T,20200930,00071100,52.160187,11.630398,6.00,0.01,0.06,0.02,0.02,-0.06,,
T,20200930,00071200,52.160188,11.630399,6.00,0.03,0.06,0.02,0.02,-0.06,,
T,20200930,00071300,52.160189,11.630401,6.00,0.01,0.06,0.02,0.02,-0.05,,
T,20200930,00071400,52.160189,11.630402,6.00,0.01,0.06,0.02,0.02,-0.06,,
T,20200930,00071500,52.160189,11.630402,6.00,0.01,0.06,0.02,0.02,-0.05,,
T,20200930,00071600,52.160189,11.630402,6.00,0.02,0.06,0.02,0.02,-0.05,,
T,20200930,00071700,52.160189,11.630401,6.00,0.00,0.07,0.02,0.02,-0.06,,
T,20200930,00071800,52.160188,11.630400,6.00,0.02,0.05,0.02,0.02,-0.05,,
T,20200930,00071900,52.160187,11.630399,6.00,0.00,0.06,0.02,0.02,-0.06,,
T,20200930,00072000,52.160186,11.630398,6.00,0.01,0.05,0.02,0.02,-0.05,,
T,20200930,00072100,52.160185,11.630398,6.00,0.01,0.05,0.02,0.02,-0.05,,
T,20200930,00072200,52.160185,11.630397,6.00,0.01,0.08,0.04,-0.08,-0.08,,
T,20200930,00072300,52.160184,11.630396,6.00,0.01,0.05,0.02,0.02,-0.05,,
T,20200930,00072400,52.160184,11.630396,6.00,0.01,0.05,0.02,0.02,-0.05,,
T,20200930,00072500,52.160185,11.630396,6.00,0.01,0.08,0.02,0.05,-0.08,,
T,20200930,00072600,52.160185,11.630396,6.00,0.01,0.06,0.02,0.02,-0.06,,
T,20200930,00072700,52.160185,11.630396,6.00,0.01,0.05,0.02,0.02,-0.05,,
T,20200930,00072800,52.160186,11.630397,6.00,0.02,0.06,0.02,0.02,-0.05,,
T,20200930,00072900,52.160186,11.630398,6.00,0.01,1.42,-0.67,1.20,-0.71,,
T,20200930,00073000,52.160187,11.630401,6.00,0.27,1.34,-1.06,-1.23,1.27,,
T,20200930,00073100,52.160194,11.630421,6.00,1.98,1.44,1.12,-1.28,0.56,,
T,20200930,00073200,52.160200,11.630457,6.00,2.79,2.46,1.50,1.90,-0.96,,
T,20200930,00073300,52.160210,11.630509,6.00,3.83,3.66,-2.38,2.87,0.89,,
T,20200930,00073400,52.160223,11.630570,6.00,4.60,3.33,2.27,2.96,-0.73,,
T,20200930,00073500,52.160238,11.630638,6.00,5.12,3.91,-2.52,-3.15,-0.62,,
T,20200930,00073600,52.160252,11.630712,6.00,5.47,4.41,-2.57,3.81,0.98,,
T,20200930,00073700,52.160264,11.630789,6.00,5.53,10.65,6.97,8.01,-2.01,,
T,20200930,00073800,52.160266,11.630856,6.00,4.35,1.64,-1.00,-1.54,0.65,,
T,20200930,00073900,52.160273,11.630933,6.00,5.72,1.77,-1.32,-1.20,0.42,,
T,20200930,00074000,52.160285,11.631017,6.00,5.85,2.62,1.66,2.02,0.40,,
T,20200930,00074100,52.160297,11.631101,6.00,5.79,9.97,6.87,8.01,2.31,,
T,20200930,00074200,52.160306,11.631181,6.00,5.57,4.64,2.46,3.89,1.15,,
T,20200930,00074300,52.160319,11.631259,6.00,5.48,4.36,-2.73,3.86,1.08,,
T,20200930,00074400,52.160329,11.631337,6.00,5.61,9.03,6.31,-7.99,1.96,,
T,20200930,00074500,52.160342,11.631421,6.00,5.84,13.08,-9.03,8.01,-5.07,,
T,20200930,00074600,52.160351,11.631496,6.00,4.94,3.97,2.46,3.62,-0.81,,
T,20200930,00074700,52.160354,11.631571,6.00,5.28,7.47,5.60,4.74,-4.82,,
T,20200930,00074800,52.160359,11.631644,6.00,4.92,3.73,2.42,3.37,0.81,,
T,20200930,00074900,52.160366,11.631722,6.00,5.29,6.57,5.47,-4.81,1.12,,
T,20200930,00075000,52.160363,11.631801,6.00,5.35,8.58,5.36,7.03,1.47,,
T,20200930,00075100,52.160363,11.631872,6.00,4.70,3.44,-2.43,-3.13,0.79,,
T,20200930,00075200,52.160363,11.631934,6.00,3.91,2.67,-1.82,2.52,-0.54,,
T,20200930,00075300,52.160366,11.631999,6.00,4.44,5.59,3.27,4.51,-0.71,,
T,20200930,00075400,52.160376,11.632054,6.00,3.96,3.56,-1.66,-3.41,0.57,,
T,20200930,00075500,52.160384,11.632122,6.00,4.14,4.39,-3.22,3.24,0.83,,
T,20200930,00075600,52.160402,11.632197,6.00,4.99,2.48,-1.89,-2.06,-0.65,,
T,20200930,00075700,52.160418,11.632279,6.00,4.99,5.29,-2.57,4.58,-0.76,,
T,20200930,00075800,52.160428,11.632354,6.00,4.40,3.32,2.50,2.36,0.62,,
T,20200930,00075900,52.160444,11.632431,6.00,4.66,4.97,-2.63,4.30,1.02,,
T,20200930,00080000,52.160455,11.632501,6.00,4.22,2.96,1.69,-2.53,0.78,,
T,20200930,00080100,52.160464,11.632574,6.00,4.52,4.29,-2.08,-3.98,0.70,,
T,20200930,00080200,52.160475,11.632650,6.00,4.65,3.90,2.33,3.13,-0.51,,
T,20200930,00080300,52.160488,11.632726,6.00,5.10,4.98,2.79,4.28,1.00,,
T,20200930,00080400,52.160501,11.632804,6.00,5.19,3.72,2.10,3.07,0.72,,
T,20200930,00080500,52.160512,11.632884,6.00,5.45,4.25,-2.90,3.70,0.90,,
T,20200930,00080600,52.160513,11.632947,6.00,4.62,2.85,2.08,2.65,-0.68,,
T,20200930,00080700,52.160527,11.633030,6.00,5.34,3.67,2.14,2.97,0.64,,
T,20200930,00080800,52.160534,11.633105,6.00,5.04,2.93,1.82,-2.82,-0.77,,
T,20200930,00080900,52.160540,11.633180,6.00,4.89,2.91,1.66,2.36,0.56,,
T,20200930,00081000,52.160554,11.633261,6.00,5.23,2.53,2.07,1.95,0.45,,
T,20200930,00081100,52.160564,11.633335,6.00,5.12,2.26,-1.79,1.92,0.42,,
T,20200930,00081200,52.160572,11.633408,6.00,4.91,2.78,-1.83,-2.18,-0.41,,
T,20200930,00081300,52.160585,11.633485,6.00,4.96,4.92,3.12,-3.97,-0.71,,
T,20200930,00081400,52.160599,11.633560,6.00,5.10,3.91,2.67,3.37,0.75,,
T,20200930,00081500,52.160612,11.633636,6.00,5.01,3.33,1.94,-2.95,-0.55,,
T,20200930,00081600,52.160622,11.633707,6.00,4.68,2.87,1.83,2.35,0.52,,
T,20200930,00081700,52.160636,11.633781,6.00,4.64,3.32,2.20,-2.99,0.74,,
T,20200930,00081800,52.160651,11.633856,6.00,4.53,3.29,2.61,-2.18,0.63,,
T,20200930,00081800,52.160661,11.633938,6.00,4.96,6.16,4.35,4.37,1.21,,
T,20200930,05330100,52.160676,11.634034,6.00,5.42,3.33,2.59,-2.89,0.77,,
